I,Mouser Part Number,Mfr Part Number,Mfr.,Datasheet,Availability,Pricing,RoHS,Lifecycle,Product Detail,IP Rating,Product,Contact Gender,Termination Style,UID
0,651-1404642,1404642,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1404642-1405531.pdf,656  In Stock,$33.09,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1404642?qs=sGAEpiMZZMvwyOPDUMfDH%252BP0RmVupIFlTuVPXQVor5I%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1404642&utm_content=Phoenix-Contact,IP67,Connectors,Socket (Female),Screw,1
1,654-MB7CKN0900-S1,MB7CKN0900-S1,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/MB7CKN0900-S1.pdf,89  In Stock,$25.36,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/MB7CKN0900-S1?qs=sGAEpiMZZMvwyOPDUMfDH5%252BOveMIjk8pDkm6Ik9jH%252BAOeyHvMmLKww%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=MB7CKN0900-S1&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Without Socket Contacts,Crimp,2
2,523-T3636-001,T 3636 001,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3636001.pdf,221  In Stock,$20.70,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3636-001?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRN8ayieTzqECc%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203636%20001&utm_content=Amphenol-Tuchel,IP40,Connectors,Socket (Female),Solder,3
3,571-5-2271137-2,5-2271137-2,TE Connectivity,https://www.mouser.com/datasheet/2/418/7/ENG_CD_2271137_A4-2030961.pdf,93  In Stock,$37.10,RoHS Compliant By Exemption,,https://www.mouser.com/ProductDetail/TE-Connectivity/5-2271137-2?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqWQMfqnQZ6LWDnDYdleKVDKw%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=5-2271137-2&utm_content=TE-Connectivity,IP68,Connectors,Socket (Female),Solder,4
4,651-1441970,1441970,Phoenix Contact,https://www.mouser.com/datasheet/2/324/3/1441970-1413264.pdf,788  In Stock,$30.77,RoHS Compliant,,https://www.mouser.com/ProductDetail/Phoenix-Contact/1441970?qs=sGAEpiMZZMvwyOPDUMfDH%252BEbIU3kevszRD%252Bhw899E%252BQ%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=1441970&utm_content=Phoenix-Contact,IP67,Inserts,Socket (Female),Through Hole,5
5,523-C01620D00320012,C016 20D003 200 12,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C01620D00320012.pdf,315  In Stock,$20.53,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C016-20D003-200-12?qs=sGAEpiMZZMvwyOPDUMfDH5TYMBqtWfjJYFq89Cgzjco%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C016%2020D003%20200%2012&utm_content=Amphenol-Tuchel,IP67,Connectors,Socket (Female),Screw,6
6,523-C09111D0080024U,C09111D0080024U,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/C09111D0080024.pdf,264  In Stock,$13.17,,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/C09111D0080024U?qs=sGAEpiMZZMvwyOPDUMfDH5eLqxzyEZqW9lO4cZ7SQjyKKJRe8BDpgg%3D%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=C09111D0080024U&utm_content=Amphenol-Tuchel,IP68,Connectors,Socket (Female),-,7
7,654-RT0W7106PNH,RT0W7106PNH,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/RT0W7106PNH.pdf,113  In Stock,$15.22,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/RT0W7106PNH?qs=sGAEpiMZZMvwyOPDUMfDHymA71%252BBL1WC6XkN8uFIIw4%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT0W7106PNH&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Socket (Female),-,8
8,523-T3638-000,T 3638 000,Amphenol Tuchel,https://www.amphenol-sine.com/pdf/datasheet/T3638000.pdf,149  In Stock,$17.64,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-Tuchel/T-3638-000?qs=sGAEpiMZZMvwyOPDUMfDH0lXB3%252BfU%2FRNiqouWkK4sSI%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=T%203638%20000&utm_content=Amphenol-Tuchel,IP40,Connectors,Socket (Female),Solder,9
9,654-RT00104SNH,RT00104SNH,Amphenol SINE Systems,https://www.amphenol-sine.com/pdf/datasheet/RT00104SNH.pdf,493  In Stock,$9.18,RoHS Compliant,,https://www.mouser.com/ProductDetail/Amphenol-SINE-Systems/RT00104SNH?qs=sGAEpiMZZMvwyOPDUMfDH6gohQ6UyzZk9gy1zKPp6jE%3D&utm_source=mouser-refine-download&utm_medium=file&utm_campaign=RT00104SNH&utm_content=Amphenol-SINE-Systems,IP67,Connectors,Socket (Female),-,10
